sample_id,site,visit,group4,nILC,n_IL10_ge1,n_PDL1_ge1,n_DP_lite
P2_V1_L,L,V1,L_V1,418,28,54,8
P3_V1_L,L,V1,L_V1,416,25,49,4
P5_V1_L,L,V1,L_V1,168,2,26,1
P1_V2_L,L,V2,L_V2,137,1,8,0
P2_V2_L,L,V2,L_V2,153,3,18,1
P3_V2_L,L,V2,L_V2,147,2,10,0
P4_V2_L,L,V2,L_V2,130,2,5,0
P5_V2_L,L,V2,L_V2,261,3,10,0
P1_V3_L,L,V3,L_V3,1415,13,25,5
P2_V3_L,L,V3,L_V3,257,7,22,2
P3_V3_L,L,V3,L_V3,426,24,29,11
P4_V3_L,L,V3,L_V3,190,6,24,2
P5_V3_L,L,V3,L_V3,1587,3,12,0
P1_V1_NL,NL,V1,NL_V1,3049,8,23,0
P2_V1_NL,NL,V1,NL_V1,1429,23,53,8
P3_V1_NL,NL,V1,NL_V1,1011,17,20,3
P4_V1_NL,NL,V1,NL_V1,3088,57,88,10
P5_V1_NL,NL,V1,NL_V1,3740,32,39,7
